ID,BLOCK
573,37
578,37
1240,38
1241,38
1242,38
1243,38
1244,38
569,38
568,38
567,38
566,38
571,38
572,38
570,38
559,39
1246,39
561,39
1249,39
1245,39
1247,39
1248,39
565,39
564,39
563,39
562,39
560,39
555,40
556,40
557,40
1250,40
1251,40
1252,40
552,40
1253,40
558,40
553,40
554,40
1254,41
545,41
1255,41
547,41
546,41
548,41
1256,41
549,41
550,41
551,41
1257,41
1258,41
544,42
543,42
542,42
541,42
540,42
539,42
538,42
1262,42
1261,42
1260,42
1259,42
1263,42
537,43
536,43
535,43
534,43
1264,43
1267,43
1266,43
1265,43
1268,43
533,43
532,43
531,43
530,43
529,44
528,44
527,44
526,44
525,44
524,44
523,44
1269,44
1270,44
1271,44
1272,44
1273,44
517,45
516,45
515,45
1274,45
522,45
521,45
520,45
519,45
518,45
1275,45
1276,45
1277,45
1278,45
514,46
1281,46
1280,46
1279,46
510,46
509,46
508,46
507,46
506,46
511,46
513,46
512,46
1282,46
499,47
500,47
501,47
502,47
503,47
504,47
505,47
498,47
1283,47
1284,47
1285,47
1286,47
1287,47
491,48
490,48
497,48
496,48
495,48
494,48
493,48
492,48
1288,48
1289,48
1290,48
1291,48
1292,48
486,49
487,49
488,49
489,49
1296,49
481,49
482,49
483,49
484,49
485,49
1293,49
1294,49
1295,49
1297,49
479,50
1302,50
1301,50
1300,50
480,50
478,50
477,50
476,50
475,50
474,50
473,50
1299,50
1298,50
1303,51
469,51
472,51
471,51
470,51
468,51
467,51
466,51
465,51
464,51
1304,51
1305,51
1306,51
1307,51
459,52
458,52
457,52
456,52
455,52
461,52
463,52
462,52
460,52
1308,52
1309,52
1310,52
1311,52
1312,52
450,53
454,53
453,53
445,53
452,53
447,53
451,53
446,53
448,53
449,53
1313,53
1314,53
1315,53
1316,53
1317,53
129,54
128,54
127,54
126,54
125,54
124,54
123,54
122,54
121,54
120,54
119,54
118,54
117,54
116,54
115,54
114,54
113,54
112,54
111,54
110,54
109,54
108,54
107,54
51,54
105,54
104,54
103,54
102,54
101,54
100,54
99,54
98,54
97,54
96,54
95,54
94,54
93,54
92,54
91,54
90,54
89,54
88,54
87,54
86,54
85,54
84,54
83,54
82,54
81,54
80,54
79,54
78,54
444,54
443,54
442,54
441,54
440,54
3,54
4,54
5,54
6,54
7,54
8,54
9,54
10,54
11,54
12,54
13,54
14,54
15,54
16,54
106,54
17,54
18,54
19,54
20,54
21,54
22,54
23,54
24,54
25,54
26,54
27,54
28,54
29,54
30,54
31,54
32,54
33,54
34,54
35,54
36,54
37,54
38,54
39,54
40,54
41,54
42,54
43,54
44,54
