CSVFORMA:TNAME,PointCoordinates
ATTRIBUTES,Id,X,Y
DATATYPE,Table
SPATIALREF,4326,4326
337,116.153,39.7732
338,116.153,39.7732
339,116.153,39.7732
340,116.153,39.7732
341,116.153,39.7732
342,116.154,39.7732
343,116.154,39.7732
344,116.154,39.7731
345,116.154,39.7731
346,116.154,39.7731
347,116.154,39.7731
348,116.154,39.7731
349,116.154,39.7731
350,116.154,39.7731
351,116.154,39.773
352,116.154,39.773
353,116.154,39.773
354,116.154,39.773
355,116.154,39.7729
356,116.155,39.7729
357,116.155,39.7729
358,116.155,39.7732
359,116.155,39.7732
360,116.155,39.7732
361,116.155,39.7732
362,116.155,39.7732
363,116.155,39.7732
364,116.155,39.7716
365,116.155,39.7716
366,116.155,39.7716
367,116.155,39.7716
368,116.155,39.7716
369,116.155,39.7716
370,116.155,39.7716
371,116.155,39.7716
372,116.155,39.7718
373,116.155,39.7718
374,116.155,39.7717
375,116.155,39.7716
376,116.155,39.7715
377,116.155,39.7715
378,116.155,39.7714
379,116.155,39.7713
380,116.155,39.7712
381,116.155,39.7712
382,116.155,39.7711
383,116.155,39.771
384,116.155,39.7709
385,116.155,39.7709
386,116.155,39.7708
387,116.155,39.7707
388,116.155,39.7706
389,116.154,39.7706
390,116.154,39.7705
391,116.154,39.7704
392,116.154,39.7703
393,116.154,39.7703
394,116.154,39.7702
395,116.154,39.7701
396,116.154,39.77
397,116.154,39.7699
398,116.154,39.7699
399,116.154,39.7698
400,116.154,39.7697
401,116.154,39.7696
402,116.154,39.7695
403,116.153,39.7694
404,116.153,39.7693
405,116.153,39.7692
406,116.153,39.7691
407,116.153,39.769
408,116.153,39.7689
409,116.153,39.7688
410,116.153,39.7687
411,116.153,39.7686
412,116.153,39.7685
413,116.153,39.7684
414,116.153,39.7683
415,116.152,39.7681
416,116.152,39.768
417,116.152,39.7679
418,116.152,39.7678
419,116.152,39.7677
420,116.152,39.7676
421,116.152,39.7675
422,116.152,39.7674
423,116.152,39.7673
424,116.152,39.7672
425,116.151,39.7671
426,116.151,39.767
427,116.151,39.7668
428,116.151,39.7667
429,116.151,39.7666
430,116.151,39.7665
431,116.151,39.7664
432,116.151,39.7663
433,116.151,39.7662
434,116.151,39.7661
435,116.15,39.766
436,116.15,39.7659
437,116.15,39.7658
438,116.15,39.7657
439,116.15,39.7656
440,116.15,39.7655
441,116.15,39.7653
